OBJECTID_1,OBJECTID,GEOID,LandAreaSqMeters,WaterAreaSqMeters,TractName,County,GeoIdNumber,EnvironmentalConditionsSubScore,PopCharacteristicsSubScore,MiEJScreenOverallScore,TotalPopulation,AreaSqMiles,PopulationDensity,UnemploymentRate,MedianHouseholdIncome,ParticulateMatter25,Ozone,NATADieselParticulateMatter,NATAAirToxicsCancerRisks,NATARespiratoryHazardIndex,TrafficDensity,ExposureCategory,ProximityHazWasteFacilities,ImparedWaterBody,ProximitySolidWasteFacilities,ProximityCleanupSites,ProximityRiskMgmtPlanSites,Wastewater,LeadPaintIndicator,EnvironmentalEffectsCategory,LowBirthWeight,BloodLeadLevel,LifeExpectancyYears,LifeExpectancyNegPercentile,Asthma,CardiovascularDisease,SensitivePopulationsCategory,EducationalAttainment,LinguisticIsolation,LowIncomePopulation,Unemployed,HousingBurden,MinorityPopulation,PopulationUnder5,PopulationOver64,SocioeconomicFactorsCategory,ShapeSTAre,ShapeSTLen,EJ40,ShapeSTArea,ShapeSTLength
1,1,26001970600,73252248,6711048,Census Tract 9706,Alcona County,26001970600,5.2,53.9,10.8,1447,28.28285228,51.16174231,9.5,39950,7,8,4,3,4,12.7,6.5,0,49.3,62.9,23.1,3.5,35.4,45.4,20.4,65.9,0,77.7,49.2,52.5,19.5,63.2,44.8,0,66.1,75.4,31.4,9.5,2.3,97.9,35.5,76435482.6571276,34622.17529061,TRUE,0.00865791581265722,0.373736132148725
2,2,26005030200,29604849,120799,Census Tract 302,Allegan County,26005030200,21.5,3.9,8.7,3161,11.43049659,276.54091625,1.3,86007,20,99,25,29,25,14.7,27.7,41.7,0,0,7.1,31.9,70.7,22.5,9.9,4.2,0,86.3,0.5,13.1,12.2,0.8,6.7,49.8,11.4,1.6,15.7,25.7,85.9,73.8,19.3,29713037.6280535,22769.78442954,FALSE,0.00326791797418722,0.240210927188788
3,3,26005030300,184705676,1062630,Census Tract 303,Allegan County,26005030300,28.1,6.4,14.5,7723,71.31526324,108.29378803,1.2,73689,42,72,18,23,23,18.3,25.1,25.3,61.4,78.9,33.5,49.5,31.3,38.1,47.4,27.9,0,79.4,30.3,8.8,13.4,17.5,42.2,0,19,2.1,4.6,11.4,63.7,21.7,2.7,185668750.402677,57546.16060232,FALSE,0.0204174563349696,0.641288416244029
4,4,26005030401,93622240,65204,Census Tract 304.01,Allegan County,26005030401,34.5,7.4,19.6,7722,36.14775049,213.62325165,1.9,71813,51,57,28,37,36,39.3,33.9,46.4,49.3,79,42.4,51.8,0,26.9,40.9,13,0,78.4,41.6,33.1,14.5,11.7,41.6,0,30.7,9.4,14.1,16,81.2,16.8,7.9,93631237.5056618,38723.67718445,FALSE,0.0102970543697533,0.411153068744131
5,5,26005030402,88113267,1874959,Census Tract 304.02,Allegan County,26005030402,31,8.1,18.4,5258,34.02072403,154.55285416,3,76431,51,55,24,34,32,19.5,28.2,66.3,49.3,67.3,46.9,65,0,28.7,49.1,17.7,0,79.3,31.4,16.5,9.3,17.5,15.7,0,21,17.9,18,26.6,75.9,10.4,4.5,89930820.3259679,40182.17150843,FALSE,0.00989066182974177,0.423733451507008
6,6,26005030500,94398885,2224364,Census Tract 305,Allegan County,26005030500,38.3,36.6,42.2,7759,36.44761482,212.88087134,1.9,62103,46,58,23,31,29,35.6,29.4,46.4,49.3,59.5,87.4,45.3,71.3,44.2,72.8,28.7,0,77.3,54.3,48.7,16.4,37.6,46.3,0,40.8,17.9,55.6,32.6,95.7,37,35.1,96563088.3225936,40316.88750186,FALSE,0.0106052927430103,0.425067044460083
7,7,26005030600,184998012,1522135,Census Tract 306,Allegan County,26005030600,32.5,37.3,38.6,5033,71.4281348,70.46243072,4.2,64331,43,62,17,23,22,35.3,26.2,46.4,72.9,53.9,55,69.4,31,49.4,65.8,64.5,0,79.5,29.2,29.4,23.8,39.3,51.6,43.6,40.6,44.5,26.1,28.4,61.6,27.4,34.4,186415345.333671,58000.45807982,FALSE,0.0204718978728293,0.645774936794436
8,8,26005030702,159609689,8457669,Census Tract 307.02,Allegan County,26005030702,25.4,24.5,26.2,4962,61.62564807,80.51842301,1.6,73770,29,83,14,19,19,5.8,21,23.7,96.6,48.7,10.1,49.8,84.5,21.8,52.5,30.1,0,79.1,33.5,48,25.1,34.3,50,0,38.1,8.9,34.4,13.1,73.2,32.7,14.4,160940891.305733,109165.02349584,FALSE,0.0176602408041946,1.14827108419947
9,9,26005030703,91557190,1979062,Census Tract 307.03,Allegan County,26005030703,19.2,63.8,37.9,2944,35.3504302,83.28045752,4.4,49890,22,96,13,16,15,4,20.5,0,42.5,88.7,48.8,10.1,0,48.7,25.3,61.2,0,76.9,58.9,68,7.3,55.5,91.6,93.1,71,32.4,33.4,71.4,40,22.7,69.4,93496862.1708543,39707.23111879,FALSE,0.0102520940823344,0.422374846236597
10,10,26005030704,109819465,2673904,Census Tract 307.04,Allegan County,26005030704,27.7,38.2,34.9,5021,42.40153429,118.41552632,3.5,64770,24,94,22,21,17,11.6,24.1,0,49.3,73.8,54.3,41.7,86.1,22,50.3,17.2,0,79.3,31.4,35,19.3,27.1,58.5,83.1,40.8,23.6,34.3,57.8,69.1,20.2,53,110163434.860256,137641.13796244,FALSE,0.0120961702306043,1.48473390321441
