X,Y,LabSampleId,SiteCode,CocSampleId,SampleType,LabName,LabJobName,Matrix,CollectionDate,AnalysisMethod,DilutionFactor,AnalysisDate,Duplicate,Unit,Watershed,Waterbody,LocationCode,HUC10,HUC8,Project,Description,AdditionalDescription,VisitID,SampleDepth,Longitude,Latitude,CAS307244_PFHxA,CAS307244_PFHxAFlag,CAS307244_PFHxAMdl,CAS307244_PFHxARl,CAS307551_PFDoA,CAS307551_PFDoAFlag,CAS307551_PFDoAMdl,CAS307551_PFDoARl,CAS335671_PFOA,CAS335671_PFOAFlag,CAS335671_PFOAMdl,CAS335671_PFOARl,CAS335762_PFDA,CAS335762_PFDAFlag,CAS335762_PFDAMdl,CAS335762_PFDARl,CAS335773_PFDS,CAS335773_PFDSFlag,CAS335773_PFDSMdl,CAS335773_PFDSRl,CAS355464_PFHxS,CAS355464_PFHxSFlag,CAS355464_PFHxSMdl,CAS355464_PFHxSRl,CAS356025_33FTCA,CAS356025_33FTCAFlag,CAS356025_33FTCAMdl,CAS356025_33FTCARl,CAS375224_PFBA,CAS375224_PFBAFlag,CAS375224_PFBAMdl,CAS375224_PFBARl,CAS375735_PFBS,CAS375735_PFBSFlag,CAS375735_PFBSMdl,CAS375735_PFBSRl,CAS375859_PFHpA,CAS375859_PFHpAFlag,CAS375859_PFHpAMdl,CAS375859_PFHpARl,CAS375928_PFHpS,CAS375928_PFHpSFlag,CAS375928_PFHpSMdl,CAS375928_PFHpSRl,CAS375951_PFNA,CAS375951_PFNAFlag,CAS375951_PFNAMdl,CAS375951_PFNARl,CAS376067_PFTeA,CAS376067_PFTeAFlag,CAS376067_PFTeAMdl,CAS376067_PFTeARl,CAS646833_PFecHS,CAS646833_PFecHSFlag,CAS646833_PFecHSMdl,CAS646833_PFecHSRl,CAS754916_PFOSA,CAS754916_PFOSAFlag,CAS754916_PFOSAMdl,CAS754916_PFOSARl,CAS812704_73FTCA,CAS812704_73FTCAFlag,CAS812704_73FTCAMdl,CAS812704_73FTCARl,CAS1763231_PFOS,CAS1763231_PFOSFlag,CAS1763231_PFOSMdl,CAS1763231_PFOSRl,CAS2058948_PFUnA,CAS2058948_PFUnAFlag,CAS2058948_PFUnAMdl,CAS2058948_PFUnARl,CAS2355319_NMeFOSAA,CAS2355319_NMeFOSAAFlag,CAS2355319_NMeFOSAAMdl,CAS2355319_NMeFOSAARl,CAS2706903_PFPeA,CAS2706903_PFPeAFlag,CAS2706903_PFPeAMdl,CAS2706903_PFPeARl,CAS2706914_PFPeS,CAS2706914_PFPeSFlag,CAS2706914_PFPeSMdl,CAS2706914_PFPeSRl,CAS2991506_NEtFOSAA,CAS2991506_NEtFOSAAFlag,CAS2991506_NEtFOSAAMdl,CAS2991506_NEtFOSAARl,CAS13252136_GenX,CAS13252136_GenXFlag,CAS13252136_GenXMdl,CAS13252136_GenXRl,CAS16517116_PFODA,CAS16517116_PFODAFlag,CAS16517116_PFODAMdl,CAS16517116_PFODARl,CAS27619972_62FTS,CAS27619972_62FTSFlag,CAS27619972_62FTSMdl,CAS27619972_62FTSRl,CAS30334691_PFBSA,CAS30334691_PFBSAFlag,CAS30334691_PFBSAMdl,CAS30334691_PFBSARl,CAS39108344_82FTS,CAS39108344_82FTSFlag,CAS39108344_82FTSMdl,CAS39108344_82FTSRl,CAS41997131_PFHxSA,CAS41997131_PFHxSAFlag,CAS41997131_PFHxSAMdl,CAS41997131_PFHxSARl,CAS67905195_PFHxDA,CAS67905195_PFHxDAFlag,CAS67905195_PFHxDAMdl,CAS67905195_PFHxDARl,CAS68259121_PFNS,CAS68259121_PFNSFlag,CAS68259121_PFNSMdl,CAS68259121_PFNSRl,CAS72629948_PFTriA,CAS72629948_PFTriAFlag,CAS72629948_PFTriAMdl,CAS72629948_PFTriARl,CAS756426581_F53BMajor,CAS756426581_F53BMajorFlag,CAS756426581_F53BMajorMdl,CAS756426581_F53BMajorRl,CAS757124724_42FTS,CAS757124724_42FTSFlag,CAS757124724_42FTSMdl,CAS757124724_42FTSRl,CAS763051929_F53BMinor,CAS763051929_F53BMinorFlag,CAS763051929_F53BMinorMdl,CAS763051929_F53BMinorRl,CAS914637493_53FTCA,CAS914637493_53FTCAFlag,CAS914637493_53FTCAMdl,CAS914637493_53FTCARl,CAS919005144_ADONA,CAS919005144_ADONAFlag,CAS919005144_ADONAMdl,CAS919005144_ADONARl,GlobalID,OBJECTID
-83.3905999994588,44.4380999997771,320-58401-1,02-CM-0060,CLARKS MARSH SOUTH,Depth Integrated,TestAmerica Sacramento,320-58401-1,Water,2020/02/03 00:00:00+00,537 (modified),1,2020/02/11 00:00:00+00,3,ng/L,Au Sable,Clark's Marsh,CM-0060,0407000707,04070007,Investigative,south end of upper pond,depth 6 ft in 2020,2020001,Integrated,-83.3906,44.4381,67,,0.53,1.8,0.5,K,0.5,1.8,120,,0.77,1.8,0.37,J,0.28,1.8,0.29,K,0.29,1.8,250,B,0.15,1.8,,,,,18,B,0.32,1.8,3.3,,0.18,1.8,30,,0.23,1.8,13,,0.17,1.8,5.1,,0.24,1.8,0.26,K,0.26,1.8,,,,,12,,0.32,1.8,,,,,660,E,0.49,1.8,1,K,1,1.8,2.8,K,2.8,18,60,,0.44,1.8,5.4,,0.27,1.8,1.7,K,1.7,18,1.4,K,1.4,3.6,,,,,150,,1.8,18,,,,,11,J,1.8,18,,,,,,,,,0.15,K,0.15,1.8,1.2,K,1.2,1.8,0.22,K,0.22,1.8,4.7,K,4.7,18,0.29,K,0.29,1.8,,,,,0.16,K,0.16,1.8,{31CB3794-8F7B-44F1-907F-70505F2DA73C},1
-83.3736545595284,44.5074566400036,SL-0100,02-SL-0010,SL-0100,,Vista Analytical,2109148,H20,2021/09/01 00:00:00+00,EPA-537M,1,2021/10/16 00:00:00+00,1,ng/L,Au Sable,Simpson Lake,SL-0010,0407000706,04070007,Investigative,Oscoda,,2021221,,-83.37365456,44.50745664,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,,,,,2.34,J,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,,,,,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,,,,,1,K,1,4.01,,,,,1,K,1,4.01,,,,,,,,,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,1,K,1,4.01,,,,,1,K,1,4.01,{DFAF60DD-C91B-4F66-9340-9BB817AD120D},2
-83.4343339997305,44.4366530001887,2209070-16,02-AS-0150,AS-0150,,EGLE,2209070,H2O,2022/09/08 00:00:00+00,PFAS-8327,1,2022/09/13 00:00:00+00,1,ng/L,Au Sable,Au Sable River,AS-0150,0407000707,04070007,Investigative,Au Sable @ Rea Rd.,,2022020,,-83.434334,44.436653,2,K ,0.6,2,2,K ,0.4,2,2,K ,1.2,2,2,K ,1.5,2,2,K ,0.5,2,2,K ,0.6,2,,,,,4,K ,0.4,4,2,K ,0.3,2,2,K ,0.3,2,2,K ,0.6,2,2,K ,0.6,2,4,K ,0.9,4,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.7,2,2,K ,0.9,2,2,K ,1.1,2,2,K ,0.5,2,2,K ,0.9,2,2,K ,0.8,2,4,K ,0.9,4,,,,,2,K ,1,2,2,K ,0.6,2,2,K ,0.9,2,2,K ,0.4,2,,,,,2,K ,0.4,2,4,K ,0.6,4,2,K ,0.4,2,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.4,2,{52162F6E-3D80-4918-8CD0-DD9BB5AE606B},3
-83.4179009996236,44.5116680000128,2209070-18,02-HC-0030,HC-0030,,EGLE,2209070,H2O,2022/09/08 00:00:00+00,PFAS-8327,1,2022/09/13 00:00:00+00,1,ng/L,Au Sable,Hill Creek,HC-0030,0407000706,04070007,Investigative,Hill Creek @ Kings Corner Rd.,,2022020,,-83.417901,44.511668,2,K ,0.6,2,2,K ,0.4,2,0.9, J,1.2,2,2,K ,1.5,2,2,K ,0.5,2,2,K ,0.6,2,,,,,4,K ,0.4,4,2,K ,0.3,2,0.3, J,0.3,2,2,K ,0.6,2,2,K ,0.6,2,4,K ,0.9,4,2,K ,0.7,2,2,K ,0.7,2,,,,,0.5, J,0.7,2,2,K ,0.9,2,2,K ,1.1,2,2,K ,0.5,2,2,K ,0.9,2,2,K ,0.8,2,4,K ,0.9,4,,,,,2,K ,1,2,2,K ,0.6,2,2,K ,0.9,2,2,K ,0.4,2,,,,,2,K ,0.4,2,4,K ,0.6,4,2,K ,0.4,2,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.4,2,{62B5DD6E-4204-4DCD-9A0E-86DCEB3DDC1D},4
-84.7048899997995,44.6644200000967,2209069-09,02-AS-0800,AS-0800,,EGLE,2209069,H2O,2022/09/07 00:00:00+00,PFAS-8327,1,2022/09/09 00:00:00+00,1,ng/L,Au Sable,Au Sable River,AS-0800,0407000703,04070007,Investigative,east of Grayling Elementary School,upstream of confluence Formerly known as AS-6,2022020,,-84.70489,44.66442,2,K ,0.6,2,2,K ,0.4,2,2,K ,1.2,2,2,K ,1.5,2,2,K ,0.5,2,1.2, J,0.6,2,,,,,0.8, J,0.4,4,2,K ,0.3,2,2,K ,0.3,2,2,K ,0.6,2,2,K ,0.6,2,4,K ,0.9,4,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.7,2,2,K ,0.9,2,2,K ,1.1,2,2,K ,0.5,2,2,K ,0.9,2,2,K ,0.8,2,4,K ,0.9,4,,,,,2,K ,1,2,2,K ,0.6,2,2,K ,0.9,2,2,K ,0.4,2,,,,,2,K ,0.4,2,4,K ,0.6,4,2,K ,0.4,2,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.4,2,{015E6520-A175-4974-8875-42ED176D7DFA},5
-84.1274249996211,44.6957859995729,2209070-09,02-CC-0040,CC-0040,,EGLE,2209070,H2O,2022/09/07 00:00:00+00,PFAS-8327,1,2022/09/13 00:00:00+00,1,ng/L,Au Sable,Cherry Creek,CC-0040,0407000705,04070007,Investigative,Cherry Creek @ Kittle Rd.,above oscoda airport,2022020,,-84.127425,44.695786,2,K ,0.6,2,2,K ,0.4,2,2,K ,1.2,2,2,K ,1.5,2,2,K ,0.5,2,2,K ,0.6,2,,,,,4,K ,0.4,4,2,K ,0.3,2,2,K ,0.3,2,2,K ,0.6,2,2,K ,0.6,2,4,K ,0.9,4,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.7,2,2,K ,0.9,2,2,K ,1.1,2,2,K ,0.5,2,2,K ,0.9,2,2,K ,0.8,2,4,K ,0.9,4,,,,,2,K ,1,2,2,K ,0.6,2,2,K ,0.9,2,2,K ,0.4,2,,,,,2,K ,0.4,2,4,K ,0.6,4,2,K ,0.4,2,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.4,2,{3377CF2D-9F64-43E7-A8FC-8926506CCFFD},6
-83.3517800001956,44.4638500002453,240-26575-3,02-VEL-0020,VAN E LAKE TOP,,TestAmerica North Canton,240-26575-1,Water,2013/07/01 00:00:00+00,WS-LC-0025,1,2013/07/15 00:00:00+00,1,ng/L,Au Sable,Van Etten Lake,VEL-0020,0407000706,04070007,Investigative,off Ratliff Park launch,,2013010,,-83.35178,44.46385,1.3,J,0.81,2.1,0.6,K,0.6,2.1,1.1,J,0.77,2.1,0.45,K,0.45,2.1,1.2,K,1.2,2.1,3.3,,0.9,2.1,,,,,3.9,B,0.47,2.1,0.95,K,0.95,2.1,0.87,J,0.83,2.1,0.74,K,0.74,2.1,0.67,K,0.67,2.1,0.21,K,0.21,2.1,,,,,0.66,K,0.66,2.1,,,,,1.4,J,1.3,2.1,0.77,K,0.77,2.1,,,,,1,K,1,2.1,,,,,,,,,,,,,0.69,K,0.69,2.1,,,,,,,,,,,,,,,,,0.46,J B,0.13,2.1,,,,,0.57,K,0.57,2.1,,,,,,,,,,,,,,,,,,,,,{B94AEF53-C109-4F2E-97EA-22E225658EF1},7
-84.043527000185,44.6539199999119,2209070-11,02-AS-0500,AS-0500,,EGLE,2209070,H2O,2022/09/07 00:00:00+00,PFAS-8327,1,2022/09/13 00:00:00+00,1,ng/L,Au Sable,Au Sable River,AS-0500,0407000705,04070007,Investigative,Au Sable @ Comins Flats,,2022020,,-84.043527,44.65392,2,K ,0.6,2,2,K ,0.4,2,2,K ,1.2,2,2,K ,1.5,2,2,K ,0.5,2,2,K ,0.6,2,,,,,4,K ,0.4,4,2,K ,0.3,2,2,K ,0.3,2,2,K ,0.6,2,2,K ,0.6,2,4,K ,0.9,4,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.7,2,2,K ,0.9,2,2,K ,1.1,2,2,K ,0.5,2,2,K ,0.9,2,2,K ,0.8,2,4,K ,0.9,4,,,,,2,K ,1,2,2,K ,0.6,2,2,K ,0.9,2,2,K ,0.4,2,,,,,2,K ,0.4,2,4,K ,0.6,4,2,K ,0.4,2,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.4,2,{FFB7BB4A-2962-4D1C-B064-40085A549153},8
-84.1869690002545,44.6691019995847,2209070-07,02-AS-0600,AS-0600,,EGLE,2209070,H2O,2022/09/07 00:00:00+00,PFAS-8327,1,2022/09/15 00:00:00+00,1,ng/L,Au Sable,Au Sable River,AS-0600,0407000705,04070007,Investigative,Au Sable @ Camp 10 Rd.,,2022020,,-84.186969,44.669102,0.5, J,0.6,2,2,K ,0.4,2,2,K ,1.2,2,2,K ,1.5,2,2,K ,0.5,2,2,K ,0.6,2,,,,,0.4, J,0.4,4,2,K ,0.3,2,2,K ,0.3,2,2,K ,0.6,2,2,K ,0.6,2,4,K ,0.9,4,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.7,2,2,K ,0.9,2,2,K ,1.1,2,2,K ,0.5,2,2,K ,0.9,2,2,K ,0.8,2,4,K ,0.9,4,,,,,2,K ,1,2,2,K ,0.6,2,2,K ,0.9,2,2,K ,0.4,2,,,,,2,K ,0.4,2,4,K ,0.6,4,2,K ,0.4,2,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.4,2,{64D631F9-74D3-4D51-AEDB-DD525BFCA177},9
-84.5922240002397,44.4793750001683,2209069-02,02-RBC-0030,RBC-0030,,EGLE,2209069,H2O,2022/09/07 00:00:00+00,PFAS-8327,1,2022/09/09 00:00:00+00,1,ng/L,Au Sable,Robinson Creek,RBC-0030,0407000701,04070007,Investigative,Robinson Creek @ Yale Rd.,downstream forest fire experiment station,2022020,,-84.592224,44.479375,2,K ,0.6,2,2,K ,0.4,2,2,K ,1.2,2,2,K ,1.5,2,2,K ,0.5,2,2,K ,0.6,2,,,,,1.4, J,0.4,4,2,K ,0.3,2,0.2, J,0.3,2,2,K ,0.6,2,2,K ,0.6,2,4,K ,0.9,4,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.7,2,2,K ,0.9,2,2,K ,1.1,2,2,K ,0.5,2,2,K ,0.9,2,2,K ,0.8,2,4,K ,0.9,4,,,,,2,K ,1,2,2,K ,0.6,2,2,K ,0.9,2,2,K ,0.4,2,,,,,2,K ,0.4,2,4,K ,0.6,4,2,K ,0.4,2,2,K ,0.7,2,2,K ,0.7,2,,,,,2,K ,0.4,2,{432C3613-3704-49B1-AABB-7DC7011DC14E},10
